Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2018-01-10 23:51:47.714088,Adult Census Income,30162,1,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.919865887000924,75.10775147536636,84.56004243750415,84.55850658178322,3,0.009946290033817386,6.0,6,6,0,39.0,45,35,5.0,5,5,14.0
2018-01-10 23:51:55.302627,Adult Census Income,30162,2,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,7.587338313001965,75.10775147536636,84.5401498574365,84.54038997214485,6,0.019892580067634773,6.0,6,6,0,41.0,43,39,5.0,5,5,13.3333333333
2018-01-10 23:52:02.397977,Adult Census Income,30162,3,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,7.094030702006421,75.10775147536636,84.45063324713216,84.44960212201592,2,0.006630860022544924,6.0,6,6,0,37.6666666667,39,35,5.0,5,5,15.3333333333
2018-01-10 23:52:08.323670,Adult Census Income,30162,4,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.924516995000886,75.10775147536636,84.34453948677144,84.34350132625995,2,0.006630860022544924,6.0,6,6,0,35.0,39,29,5.0,5,5,18.0
2018-01-10 23:52:15.760624,Adult Census Income,30162,5,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,7.435897419003595,75.10775147536636,84.45394867714343,84.45343324160339,1,0.003315430011272462,6.0,6,6,0,36.3333333333,41,31,5.0,5,5,15.3333333333
2018-01-10 23:52:22.651977,Adult Census Income,30162,6,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,6.890153001004364,75.10775147536636,84.23513029639945,84.23199363310783,6,0.019892580067634773,6.0,6,6,0,37.6666666667,41,35,5.0,5,5,14.6666666667
2018-01-10 23:52:28.378941,Adult Census Income,30162,7,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,5.725868569003069,75.10775147536636,84.34122405676017,84.33914715829962,4,0.013261720045089848,6.0,6,6,0,36.3333333333,37,35,5.0,5,5,15.3333333333
2018-01-10 23:52:35.816343,Adult Census Income,30162,8,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,7.4363106210003025,75.10775147536636,84.48378754724487,84.47967102208662,8,0.026523440090179696,6.0,6,6,0,37.6666666667,43,31,5.0,5,5,17.3333333333
2018-01-10 23:52:42.536640,Adult Census Income,30162,9,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,6.719054611996398,75.10775147536636,84.32796233671507,84.32867990847896,5,0.01657715005636231,6.0,6,6,0,39.6666666667,41,39,5.0,5,5,14.0
2018-01-10 23:52:48.672134,Adult Census Income,30162,10,Hypercube Cover,5,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,6.134425855001609,75.10775147536636,84.44731781712088,84.4447391981961,5,0.01657715005636231,6.0,6,6,0,40.3333333333,43,39,5.0,5,5,12.0
